Folder name, Region name Russian, Region name English, Date, Infected, Recovered, Deceased
RU-MOW,Москва,Moscow,23.02.2022,2679100,2452895,40866
RU-MOW,Москва,Moscow,22.02.2022,2673436,2443899,40783
RU-MOW,Москва,Moscow,21.02.2022,2669186,2431079,40698
RU-MOW,Москва,Moscow,20.02.2022,2664189,2418457,40615
RU-MOW,Москва,Moscow,19.02.2022,2657801,2398976,40531
RU-MOW,Москва,Moscow,18.02.2022,2650927,2363212,40444
RU-MOW,Москва,Moscow,17.02.2022,2642619,2324231,40358
RU-MOW,Москва,Moscow,16.02.2022,2632914,2281792,40273
RU-MOW,Москва,Moscow,15.02.2022,2621652,2244013,40186
RU-MOW,Москва,Moscow,14.02.2022,2613492,2214046,40102
RU-MOW,Москва,Moscow,13.02.2022,2603876,2185131,40020
RU-MOW,Москва,Moscow,12.02.2022,2591380,2160558,39934
RU-MOW,Москва,Moscow,11.02.2022,2577044,2140512,39849
RU-MOW,Москва,Moscow,10.02.2022,2558503,2118897,39768
RU-MOW,Москва,Moscow,09.02.2022,2535756,2094533,39684
RU-MOW,Москва,Moscow,08.02.2022,2524235,2068597,39602
RU-MOW,Москва,Moscow,07.02.2022,2511333,2047924,39517
RU-MOW,Москва,Moscow,06.02.2022,2495891,2034827,39434
RU-MOW,Москва,Moscow,05.02.2022,2477035,2021805,39353
RU-MOW,Москва,Moscow,04.02.2022,2454591,2007965,39271
RU-MOW,Москва,Moscow,03.02.2022,2429572,1994160,39192
RU-MOW,Москва,Moscow,02.02.2022,2402668,1981801,39116
RU-MOW,Москва,Moscow,01.02.2022,2378884,1970326,39038
RU-MOW,Москва,Moscow,31.01.2022,2357351,1962382,38962
RU-MOW,Москва,Moscow,30.01.2022,2333934,1956577,38887
RU-MOW,Москва,Moscow,29.01.2022,2309904,1951552,38810
RU-MOW,Москва,Moscow,28.01.2022,2283416,1946142,38734
RU-MOW,Москва,Moscow,27.01.2022,2259422,1940819,38660
RU-MOW,Москва,Moscow,26.01.2022,2232836,1935354,38588
RU-MOW,Москва,Moscow,25.01.2022,2212980,1931016,38514
RU-MOW,Москва,Moscow,24.01.2022,2194045,1927017,38439
RU-SPE,Санкт-Петербург,Saint-Petersburg,23.02.2022,1402221,1174609,31502
RU-SPE,Санкт-Петербург,Saint-Petersburg,22.02.2022,1392427,1148975,31419
RU-SPE,Санкт-Петербург,Saint-Petersburg,21.02.2022,1385852,1127097,31338
RU-SPE,Санкт-Петербург,Saint-Petersburg,20.02.2022,1376809,1120169,31258
RU-SPE,Санкт-Петербург,Saint-Petersburg,19.02.2022,1360210,1111026,31176
RU-SPE,Санкт-Петербург,Saint-Petersburg,18.02.2022,1342168,1086588,31093
RU-SPE,Санкт-Петербург,Saint-Petersburg,17.02.2022,1325770,1057712,31015
RU-SPE,Санкт-Петербург,Saint-Petersburg,16.02.2022,1309175,1030441,30941
RU-SPE,Санкт-Петербург,Saint-Petersburg,15.02.2022,1292024,1005481,30866
RU-SPE,Санкт-Петербург,Saint-Petersburg,14.02.2022,1284933,983286,30793
RU-SPE,Санкт-Петербург,Saint-Petersburg,13.02.2022,1273549,975917,30723
RU-SPE,Санкт-Петербург,Saint-Petersburg,12.02.2022,1253413,965655,30651
RU-SPE,Санкт-Петербург,Saint-Petersburg,11.02.2022,1231724,949693,30582
RU-SPE,Санкт-Петербург,Saint-Petersburg,10.02.2022,1209654,929334,30516
RU-SPE,Санкт-Петербург,Saint-Petersburg,09.02.2022,1188010,914119,30458
RU-SPE,Санкт-Петербург,Saint-Petersburg,08.02.2022,1168366,902877,30398
RU-SPE,Санкт-Петербург,Saint-Petersburg,07.02.2022,1157352,893787,30331
RU-SPE,Санкт-Петербург,Saint-Petersburg,06.02.2022,1143980,890428,30267
RU-SPE,Санкт-Петербург,Saint-Petersburg,05.02.2022,1122532,884565,30200
RU-SPE,Санкт-Петербург,Saint-Petersburg,04.02.2022,1100752,878175,30135
RU-SPE,Санкт-Петербург,Saint-Petersburg,03.02.2022,1078920,871308,30078
RU-SPE,Санкт-Петербург,Saint-Petersburg,02.02.2022,1057686,865013,30022
RU-SPE,Санкт-Петербург,Saint-Petersburg,01.02.2022,1038452,860698,29959
RU-SPE,Санкт-Петербург,Saint-Petersburg,31.01.2022,1024833,856385,29901
RU-SPE,Санкт-Петербург,Saint-Petersburg,30.01.2022,1009031,854771,29841
RU-SPE,Санкт-Петербург,Saint-Petersburg,29.01.2022,991198,853434,29776
RU-SPE,Санкт-Петербург,Saint-Petersburg,28.01.2022,976259,850554,29713
RU-SPE,Санкт-Петербург,Saint-Petersburg,27.01.2022,962283,847273,29656
RU-SPE,Санкт-Петербург,Saint-Petersburg,26.01.2022,950475,844045,29592
RU-SPE,Санкт-Петербург,Saint-Petersburg,25.01.2022,939894,840927,29537
RU-SPE,Санкт-Петербург,Saint-Petersburg,24.01.2022,930172,838112,29479
RU-MOS,Московская область,Moscow oblast,23.02.2022,930088,796110,14099
RU-MOS,Московская область,Moscow oblast,22.02.2022,928168,787537,14074
RU-MOS,Московская область,Moscow oblast,21.02.2022,926108,778798,14051
RU-MOS,Московская область,Moscow oblast,20.02.2022,923202,773237,14020
RU-MOS,Московская область,Moscow oblast,19.02.2022,919015,767232,13986
RU-MOS,Московская область,Moscow oblast,18.02.2022,913827,759112,13959
RU-MOS,Московская область,Moscow oblast,17.02.2022,908666,749702,13933
RU-MOS,Московская область,Moscow oblast,16.02.2022,904601,741675,13902
RU-MOS,Московская область,Moscow oblast,15.02.2022,901102,731920,13872
RU-MOS,Московская область,Moscow oblast,14.02.2022,896840,724673,13840
RU-MOS,Московская область,Moscow oblast,13.02.2022,890442,716510,13804
RU-MOS,Московская область,Moscow oblast,12.02.2022,883093,708258,13770
RU-MOS,Московская область,Moscow oblast,11.02.2022,873947,697111,13739
RU-MOS,Московская область,Moscow oblast,10.02.2022,864980,688401,13701
RU-MOS,Московская область,Moscow oblast,09.02.2022,857369,680559,13665
RU-MOS,Московская область,Moscow oblast,08.02.2022,845413,674190,13630
RU-MOS,Московская область,Moscow oblast,07.02.2022,836927,664192,13592
RU-MOS,Московская область,Moscow oblast,06.02.2022,824697,657210,13553
RU-MOS,Московская область,Moscow oblast,05.02.2022,814254,650055,13513
RU-MOS,Московская область,Moscow oblast,04.02.2022,802553,643540,13469
RU-MOS,Московская область,Moscow oblast,03.02.2022,791298,637594,13435
RU-MOS,Московская область,Moscow oblast,02.02.2022,782577,633919,13399
RU-MOS,Московская область,Moscow oblast,01.02.2022,772389,629424,13362
RU-MOS,Московская область,Moscow oblast,31.01.2022,760914,626312,13325
RU-MOS,Московская область,Moscow oblast,30.01.2022,749444,624754,13292
RU-MOS,Московская область,Moscow oblast,29.01.2022,738010,622990,13256
RU-MOS,Московская область,Moscow oblast,28.01.2022,727285,621598,13221
RU-MOS,Московская область,Moscow oblast,27.01.2022,718674,620279,13183
RU-MOS,Московская область,Moscow oblast,26.01.2022,711492,619063,13149
